profile_id,first_name,last_name,gender,ethnicity,name_ID,provider,model,total_tokens,num_nouns,num_verbs,num_adjectives,num_adverbs,num_pronouns,num_numerals,num_other,nouns_per_1k,verbs_per_1k,adjectives_per_1k,adverbs_per_1k,pronouns_per_1k,numerals_per_1k,other_per_1k
1885,Mareen,Stoll,female,german,3,google-gemini,gemini-2.5-flash-lite,504,172,22,42,12,13,10,233,341.26984126984127,43.65079365079365,83.33333333333334,23.80952380952381,25.793650793650794,19.841269841269842,462.3015873015873
201,Mareen,Stoll,female,german,3,google-gemini,gemini-2.5-flash-lite,452,170,12,44,14,2,12,198,376.10619469026545,26.54867256637168,97.34513274336283,30.973451327433626,4.424778761061947,26.54867256637168,438.0530973451327
2100,Mareen,Stoll,female,german,3,google-gemini,gemini-2.5-flash-lite,696,243,21,50,20,18,22,322,349.13793103448273,30.172413793103445,71.83908045977012,28.735632183908045,25.86206896551724,31.609195402298848,462.64367816091954
2147,Mareen,Stoll,female,german,3,google-gemini,gemini-2.5-flash-lite,469,158,16,36,15,9,24,211,336.8869936034115,34.11513859275053,76.7590618336887,31.982942430703623,19.189765458422176,51.1727078891258,449.89339019189765
2168,Mareen,Stoll,female,german,3,google-gemini,gemini-2.5-flash-lite,410,132,8,28,12,8,2,220,321.9512195121951,19.51219512195122,68.29268292682927,29.268292682926827,19.51219512195122,4.878048780487805,536.5853658536586
2173,Mareen,Stoll,female,german,3,google-gemini,gemini-2.5-flash-lite,550,203,15,38,12,13,4,265,369.09090909090907,27.272727272727273,69.0909090909091,21.818181818181817,23.636363636363637,7.2727272727272725,481.8181818181818
221,Mareen,Stoll,female,german,3,google-gemini,gemini-2.5-flash-lite,461,149,15,40,8,7,12,230,323.21041214750545,32.53796095444686,86.76789587852495,17.35357917570499,15.184381778741866,26.030368763557483,498.91540130151844
2566,Mareen,Stoll,female,german,3,google-gemini,gemini-2.5-flash-lite,401,125,13,37,13,8,9,196,311.7206982543641,32.418952618453865,92.26932668329178,32.418952618453865,19.950124688279303,22.443890274314214,488.7780548628429
2589,Mareen,Stoll,female,german,3,google-gemini,gemini-2.5-flash-lite,363,122,12,26,12,3,9,179,336.08815426997245,33.05785123966942,71.62534435261708,33.05785123966942,8.264462809917354,24.793388429752063,493.11294765840216
2660,Mareen,Stoll,female,german,3,google-gemini,gemini-2.5-flash-lite,461,148,16,46,15,10,8,218,321.04121475054234,34.70715835140998,99.78308026030369,32.53796095444686,21.69197396963124,17.35357917570499,472.88503253796097
2793,Mareen,Stoll,female,german,3,google-gemini,gemini-2.5-flash-lite,549,163,17,31,9,9,22,298,296.90346083788705,30.965391621129324,56.46630236794171,16.39344262295082,16.39344262295082,40.07285974499089,542.8051001821493
2795,Mareen,Stoll,female,german,3,google-gemini,gemini-2.5-flash-lite,536,179,13,34,15,9,27,259,333.95522388059703,24.253731343283583,63.43283582089553,27.98507462686567,16.791044776119403,50.37313432835821,483.2089552238806
2860,Mareen,Stoll,female,german,3,google-gemini,gemini-2.5-flash-lite,419,152,8,30,11,5,14,199,362.7684964200477,19.09307875894988,71.59904534606204,26.252983293556085,11.933174224343674,33.41288782816229,474.94033412887825
2927,Mareen,Stoll,female,german,3,google-gemini,gemini-2.5-flash-lite,560,164,22,34,26,10,13,291,292.8571428571429,39.285714285714285,60.714285714285715,46.42857142857143,17.857142857142858,23.214285714285715,519.6428571428572
307,Mareen,Stoll,female,german,3,google-gemini,gemini-2.5-flash-lite,448,142,19,29,12,10,17,219,316.9642857142857,42.410714285714285,64.73214285714286,26.785714285714285,22.321428571428573,37.94642857142857,488.8392857142857
3131,Mareen,Stoll,female,german,3,google-gemini,gemini-2.5-flash-lite,630,208,17,46,12,10,23,314,330.1587301587301,26.984126984126984,73.01587301587301,19.047619047619047,15.873015873015872,36.507936507936506,498.4126984126984
