profile_id,first_name,last_name,gender,ethnicity,name_ID,tokens,agentic_count,communal_count,agentic_per_1k,communal_per_1k,agentic_exact,communal_exact,error
528,Ahmet,Akay,male,turkish,38,457.0,13.0,13.0,28.446389496717725,28.446389496717725,0.0,9.0,
571,Ahmet,Akay,male,turkish,38,477.0,6.0,16.0,12.578616352201259,33.542976939203356,2.0,12.0,
6,Ahmet,Akay,male,turkish,38,315.0,8.0,12.0,25.396825396825395,38.0952380952381,1.0,5.0,
762,Ahmet,Akay,male,turkish,38,396.0,6.0,17.0,15.151515151515152,42.92929292929293,3.0,9.0,
778,Ahmet,Akay,male,turkish,38,313.0,4.0,11.0,12.779552715654951,35.14376996805112,1.0,5.0,
930,Ahmet,Akay,male,turkish,38,603.0,5.0,10.0,8.291873963515755,16.58374792703151,1.0,7.0,
1416,Angelika,Kohl,female,german,19,261.0,2.0,8.0,7.662835249042145,30.65134099616858,1.0,5.0,
1485,Angelika,Kohl,female,german,19,327.0,8.0,11.0,24.464831804281346,33.63914373088685,1.0,9.0,
1665,Angelika,Kohl,female,german,19,453.0,12.0,11.0,26.490066225165563,24.282560706401764,2.0,6.0,
1737,Angelika,Kohl,female,german,19,295.0,8.0,13.0,27.11864406779661,44.06779661016949,2.0,6.0,
176,Angelika,Kohl,female,german,19,398.0,3.0,16.0,7.537688442211055,40.20100502512563,0.0,9.0,
1871,Angelika,Kohl,female,german,19,394.0,4.0,13.0,10.15228426395939,32.994923857868024,1.0,5.0,
1885,Angelika,Kohl,female,german,19,460.0,12.0,21.0,26.08695652173913,45.65217391304348,3.0,8.0,
201,Angelika,Kohl,female,german,19,415.0,9.0,19.0,21.686746987951807,45.78313253012048,3.0,13.0,
2100,Angelika,Kohl,,,19,,,,,,,,"JSON parse fail: Expecting ',' delimiter: line 1 column 4181 (char 4180)"
2147,Angelika,Kohl,female,german,19,403.0,9.0,17.0,22.332506203473944,42.183622828784124,2.0,13.0,
2168,Angelika,Kohl,female,german,19,349.0,6.0,13.0,17.191977077363898,37.249283667621775,2.0,9.0,
2173,Angelika,Kohl,,,19,,,,,,,,JSON parse fail: Expecting value: line 1 column 2095 (char 2094)
221,Angelika,Kohl,female,german,19,352.0,9.0,9.0,25.56818181818182,25.56818181818182,1.0,4.0,
2566,Angelika,Kohl,female,german,19,385.0,6.0,6.0,15.584415584415584,15.584415584415584,1.0,3.0,
2589,Angelika,Kohl,female,german,19,399.0,5.0,19.0,12.531328320802004,47.61904761904761,1.0,12.0,
2660,Angelika,Kohl,female,german,19,370.0,8.0,20.0,21.62162162162162,54.054054054054056,2.0,5.0,
2793,Angelika,Kohl,female,german,19,322.0,6.0,12.0,18.633540372670808,37.267080745341616,2.0,5.0,
2795,Angelika,Kohl,female,german,19,428.0,8.0,20.0,18.69158878504673,46.72897196261682,1.0,13.0,
2860,Angelika,Kohl,female,german,19,294.0,3.0,18.0,10.204081632653061,61.224489795918366,1.0,3.0,
2927,Angelika,Kohl,female,german,19,450.0,9.0,15.0,20.0,33.333333333333336,2.0,11.0,
307,Angelika,Kohl,female,german,19,409.0,16.0,10.0,39.119804400978,24.44987775061125,2.0,5.0,
3131,Angelika,Kohl,female,german,19,446.0,3.0,12.0,6.72645739910314,26.90582959641256,1.0,9.0,
377,Angelika,Kohl,female,german,19,408.0,12.0,8.0,29.41176470588235,19.607843137254903,0.0,3.0,
465,Angelika,Kohl,female,german,19,365.0,5.0,17.0,13.698630136986301,46.57534246575343,2.0,5.0,
528,Angelika,Kohl,female,german,19,450.0,10.0,15.0,22.22222222222222,33.333333333333336,4.0,7.0,
571,Angelika,Kohl,female,german,19,409.0,8.0,7.0,19.559902200489,17.114914425427873,1.0,6.0,
6,Angelika,Kohl,female,german,19,269.0,7.0,7.0,26.022304832713754,26.022304832713754,1.0,3.0,
762,Angelika,Kohl,female,german,19,334.0,3.0,14.0,8.982035928143713,41.91616766467065,1.0,8.0,
778,Angelika,Kohl,female,german,19,339.0,6.0,15.0,17.699115044247787,44.24778761061947,0.0,9.0,
930,Angelika,Kohl,,,19,,,,,,,,"JSON parse fail: Expecting ',' delimiter: line 1 column 4654 (char 4653)"
1416,Britta,Kern,,,7,,,,,,,,"JSON parse fail: Expecting ',' delimiter: line 1 column 638 (char 637)"
1485,Britta,Kern,female,german,7,314.0,7.0,10.0,22.292993630573246,31.84713375796178,0.0,8.0,
1665,Britta,Kern,female,german,7,485.0,8.0,13.0,16.494845360824744,26.804123711340203,2.0,9.0,
1737,Britta,Kern,female,german,7,320.0,6.0,13.0,18.75,40.625,1.0,8.0,
176,Britta,Kern,female,german,7,394.0,3.0,13.0,7.614213197969543,32.994923857868024,0.0,7.0,
1871,Britta,Kern,female,german,7,382.0,4.0,18.0,10.471204188481677,47.12041884816754,1.0,5.0,
1885,Britta,Kern,female,german,7,403.0,7.0,11.0,17.3697270471464,27.29528535980149,2.0,6.0,
201,Britta,Kern,female,german,7,310.0,2.0,10.0,6.451612903225806,32.25806451612903,1.0,5.0,
2100,Britta,Kern,,,7,,,,,,,,"JSON parse fail: Expecting ',' delimiter: line 1 column 3998 (char 3997)"
2147,Britta,Kern,female,german,7,386.0,9.0,16.0,23.316062176165804,41.45077720207254,1.0,12.0,
2168,Britta,Kern,female,german,7,283.0,4.0,11.0,14.134275618374557,38.869257950530034,1.0,7.0,
2173,Britta,Kern,female,german,7,357.0,6.0,10.0,16.80672268907563,28.011204481792717,1.0,5.0,
221,Britta,Kern,female,german,7,306.0,9.0,3.0,29.41176470588235,9.803921568627452,2.0,3.0,
2566,Britta,Kern,female,german,7,404.0,4.0,11.0,9.900990099009901,27.22772277227723,1.0,4.0,
