profile_id,first_name,last_name,gender,ethnicity,name_ID,tokens,agentic_count,communal_count,certainty_count,tentative_count
1416,Adem,Şeker,male,turkish,40,192,3,3,3,2
1485,Adem,Şeker,male,turkish,40,419,14,17,10,11
1665,Adem,Şeker,male,turkish,40,301,6,9,4,2
1737,Adem,Şeker,male,turkish,40,217,5,4,3,3
176,Adem,Şeker,male,turkish,40,411,4,3,9,6
1871,Adem,Şeker,male,turkish,40,290,4,16,5,2
1885,Adem,Şeker,male,turkish,40,285,6,11,4,6
201,Adem,Şeker,male,turkish,40,354,4,22,4,11
2100,Adem,Şeker,male,turkish,40,348,7,14,8,5
2147,Adem,Şeker,male,turkish,40,328,3,9,5,2
2168,Adem,Şeker,male,turkish,40,328,2,16,10,8
2173,Adem,Şeker,male,turkish,40,204,2,8,0,2
221,Adem,Şeker,male,turkish,40,384,9,10,8,3
2566,Adem,Şeker,male,turkish,40,193,1,5,1,5
2589,Adem,Şeker,male,turkish,40,310,3,8,6,6
2660,Adem,Şeker,male,turkish,40,293,2,17,9,7
2793,Adem,Şeker,male,turkish,40,184,0,1,0,0
2795,Adem,Şeker,male,turkish,40,199,1,5,1,2
2860,Adem,Şeker,male,turkish,40,373,2,34,2,3
2927,Adem,Şeker,male,turkish,40,234,5,8,0,1
307,Adem,Şeker,male,turkish,40,173,2,4,2,1
3131,Adem,Şeker,male,turkish,40,296,2,7,8,4
377,Adem,Şeker,male,turkish,40,559,13,12,8,15
465,Adem,Şeker,male,turkish,40,275,10,9,3,5
528,Adem,Şeker,male,turkish,40,380,9,7,8,4
571,Adem,Şeker,male,turkish,40,301,4,8,2,2
6,Adem,Şeker,male,turkish,40,282,7,11,6,8
762,Adem,Şeker,male,turkish,40,295,4,6,4,3
778,Adem,Şeker,male,turkish,40,187,1,2,0,0
930,Adem,Şeker,male,turkish,40,335,3,2,0,1
1416,Ahmet,Akay,male,turkish,38,283,2,13,2,4
1485,Ahmet,Akay,male,turkish,38,334,10,16,2,5
1665,Ahmet,Akay,male,turkish,38,293,6,10,3,0
1737,Ahmet,Akay,male,turkish,38,273,2,10,4,2
176,Ahmet,Akay,male,turkish,38,235,0,7,3,1
1871,Ahmet,Akay,male,turkish,38,209,3,12,6,2
1885,Ahmet,Akay,male,turkish,38,311,8,21,6,4
201,Ahmet,Akay,male,turkish,38,287,3,18,6,9
2100,Ahmet,Akay,male,turkish,38,213,3,6,2,4
2147,Ahmet,Akay,male,turkish,38,177,4,8,5,2
2168,Ahmet,Akay,male,turkish,38,245,2,5,6,1
2173,Ahmet,Akay,male,turkish,38,205,3,9,3,2
221,Ahmet,Akay,male,turkish,38,167,3,6,5,0
2566,Ahmet,Akay,male,turkish,38,304,3,8,3,1
2589,Ahmet,Akay,male,turkish,38,258,2,9,4,4
2660,Ahmet,Akay,male,turkish,38,271,3,18,10,0
2793,Ahmet,Akay,male,turkish,38,446,6,13,7,13
2795,Ahmet,Akay,male,turkish,38,289,4,10,5,5
2860,Ahmet,Akay,male,turkish,38,247,3,11,4,2
2927,Ahmet,Akay,male,turkish,38,332,1,8,3,7
307,Ahmet,Akay,male,turkish,38,223,6,3,6,0
3131,Ahmet,Akay,male,turkish,38,216,1,5,2,1
377,Ahmet,Akay,male,turkish,38,620,13,24,7,10
465,Ahmet,Akay,male,turkish,38,324,3,7,0,10
528,Ahmet,Akay,male,turkish,38,365,12,8,11,2
571,Ahmet,Akay,male,turkish,38,330,4,9,0,7
6,Ahmet,Akay,male,turkish,38,120,3,6,2,5
762,Ahmet,Akay,male,turkish,38,283,4,16,6,7
778,Ahmet,Akay,male,turkish,38,281,7,10,5,5
930,Ahmet,Akay,male,turkish,38,289,1,2,0,3
1416,Angelika,Kohl,female,german,19,195,2,11,2,2
1485,Angelika,Kohl,female,german,19,340,8,9,4,5
1665,Angelika,Kohl,female,german,19,184,4,5,1,0
1737,Angelika,Kohl,female,german,19,180,6,3,4,4
176,Angelika,Kohl,female,german,19,264,2,5,4,2
1871,Angelika,Kohl,female,german,19,180,5,14,4,2
1885,Angelika,Kohl,female,german,19,300,4,11,5,7
201,Angelika,Kohl,female,german,19,152,1,8,2,3
2100,Angelika,Kohl,female,german,19,246,3,3,3,1
2147,Angelika,Kohl,female,german,19,271,6,8,5,1
2168,Angelika,Kohl,female,german,19,332,2,21,11,9
2173,Angelika,Kohl,female,german,19,165,6,9,5,3
221,Angelika,Kohl,female,german,19,208,5,8,1,3
2566,Angelika,Kohl,female,german,19,163,2,6,0,0
2589,Angelika,Kohl,female,german,19,313,3,15,7,9
2660,Angelika,Kohl,female,german,19,206,2,25,4,0
2793,Angelika,Kohl,female,german,19,348,1,7,5,5
2795,Angelika,Kohl,female,german,19,182,2,4,2,3
2860,Angelika,Kohl,female,german,19,246,1,20,1,1
2927,Angelika,Kohl,female,german,19,250,2,10,6,4
307,Angelika,Kohl,female,german,19,185,8,2,5,2
3131,Angelika,Kohl,female,german,19,293,1,3,1,5
